id,titre,titre_original,annee_sortie,note,genre,pays_production,realisateur,description,nb_saisons,nb_episodes,statut
S033,A Series of Unfortunate Events,A Series of Unfortunate Events,2019,7.8,Drame,États-Unis,Barry Sonnenfeld,"The extraordinary Baudelaire orphans face trials, tribulations and the evil Count Olaf in their fateful quest to unlock long-held family secrets.",3,25,TERMINEE
S034,Disenchantment,Disenchantment,2021,7.2,Science-Fiction,États-Unis,Matt Groening,"Princess duties call, but she'd rather be drinking. Free-spirited Bean exasperates the king as she wreaks havoc with her demon and elf pals.",1,10,EN_COURS
S035,Bloodline,Bloodline,2017,7.9,Drame,États-Unis,Todd A. Kessler,"When the black sheep son of a respected family threatens to expose dark secrets from their past, sibling loyalties are put to the test.",3,33,TERMINEE
S036,Grace and Frankie,Grace and Frankie,2021,8.2,Drame,États-Unis,"Marta Kauffman, Howard J. Morris","They’re not friends, but when their husbands leave them for each other, proper Grace and eccentric Frankie begin to bond in this Emmy-nominated series.",5,65,EN_COURS
S037,GLOW,GLOW,2019,8.0,Drame,États-Unis,"Liz Flahive, Carly Mensch","In 1980s LA, a crew of misfits reinvent themselves as the Gorgeous Ladies of Wrestling. A comedy by the team behind ""Orange Is the New Black.""",2,20,EN_COURS
S038,Kingdom,Kingdom,2020,8.3,Action,Corée du Sud,Kim Seong-hun,"While strange rumors about their ill king grip a kingdom, the crown prince becomes their only hope against a mysterious plague overtaking the land.",1,6,EN_COURS
S039,Our Planet,Our Planet,2019,9.3,Documentaire,États-Unis,Alastair Fothergill,Experience our planet's natural beauty and examine how climate change impacts all living creatures in this ambitious documentary of spectacular scope.,1,8,EN_COURS
S040,Hemlock Grove,Hemlock Grove,2015,7.0,Thriller,États-Unis,Eli Roth,"Secrets are just a part of daily life in the small Pennsylvania town of Hemlock Grove, where the darkest evils hide in plain sight.",3,33,TERMINEE
S041,The Kominsky Method,The Kominsky Method,2021,8.2,Drame,États-Unis,Chuck Lorre,Acting coach Sandy Kominsky and best friend Norman Newlander keep each other laughing as they navigate the ups and downs of getting older.,1,8,EN_COURS
S042,The Ranch,The Ranch,2020,7.4,Comédie,États-Unis,"Don Reo, Jim Patterson","Being a pro athlete didn't pan out for Colt. Now he's helping his dad and brother keep the ranch afloat, and figuring out how he fits into the family.",1,60,EN_COURS
S043,Formula 1: Drive to Survive,Formula 1: Drive to Survive,2021,8.6,Documentaire,Royaume-Uni,James Gay-Rees,"Drivers, managers and team owners live life in the fast lane – both on and off the track – during one cutthroat season of Formula 1 racing.",1,10,EN_COURS
S044,Gilmore Girls: A Year in the Life,Gilmore Girls: A Year in the Life,2016,7.6,Drame,États-Unis,Amy Sherman-Palladino,"Set nearly a decade after the finale of the original series, this revival follows Lorelai, Rory and Emily Gilmore through four seasons of change.",1,4,EN_COURS
S045,F is for Family,F is for Family,2020,8.0,Comédie,États-Unis,"Bill Burr, Michael Price","Follow the Murphy family back to the 1970s, when kids roamed wild, beer flowed freely and nothing came between a man and his TV.",3,26,EN_COURS
S046,The Mechanism,The Mechanism,2019,8.0,Drame,Brésil,José Padilha,A scandal erupts in Brazil during an investigation of alleged government corruption via oil and construction companies. Loosely inspired by true events.,2,16,EN_COURS
S047,The Protector,The Protector,2020,6.5,Action,Turquie,Binnur Karaevli,"Discovering his ties to a secret ancient order, a young man living in modern Istanbul embarks on a quest to save the city from an immortal enemy.",2,18,EN_COURS
S048,How to Sell Drugs Online (Fast),How to Sell Drugs Online (Fast),2021,7.9,Comédie,Allemagne,"Philipp Käßbohrer, Matthias Murmann","To win back his ex-girlfriend, a nerdy teen starts selling ecstasy online out of his bedroom – and becomes one of Europe's biggest dealers.",1,6,EN_COURS
S049,American Vandal,American Vandal,2018,8.1,Crime,États-Unis,"Dan Perrault, Tony Yacenda","A high school is rocked by an act of vandalism, but the top suspect pleads innocence and finds an ally in a filmmaker. A satirical true crime mystery.",2,16,TERMINEE
S050,Wild Wild Country,Wild Wild Country,2018,8.1,Crime,États-Unis,"Chapman Way, Maclain Way","When a controversial cult leader builds a utopian city in the Oregon desert, conflict with the locals escalates into a national scandal.",1,6,EN_COURS
S051,Black Summer,Black Summer,2021,6.5,Science-Fiction,Canada,"Karl Schaefer, John Hyams","In the dark, early days of a zombie apocalypse, complete strangers band together to find the strength they need to survive and get back to loved ones.",1,8,EN_COURS
S052,The Society,The Society,2019,7.0,Drame,États-Unis,Christopher Keyser,"When everyone else mysteriously vanishes from their wealthy town, the teen residents of West Ham must forge their own society to survive.",1,10,EN_COURS
S053,Insatiable,Insatiable,2019,6.5,Drame,États-Unis,Lauren Gussis,"A bullied teenager turns to beauty pageants as a way to exact her revenge, with the help of a disgraced coach who soon realizes he's in over his head.",1,12,EN_COURS
S054,The Order,The Order,2020,6.7,Science-Fiction,États-Unis,"Dennis Heaton, Shelley Eriksen","Out to avenge his mother's death, a college student pledges a secret order and lands in a war between werewolves and practitioners of dark magic.",1,10,EN_COURS
S055,Fuller House,Fuller House,2020,6.7,Comédie,États-Unis,Jeff Franklin,The Tanner family’s adventures continue as DJ Tanner-Fuller shares a home with her sister Stephanie and friend Kimmy who help raise her three boys.,4,57,EN_COURS
S056,Conversations with a Killer: The Ted Bundy Tapes,Conversations with a Killer: The Ted Bundy Tapes,2019,7.8,Documentaire,États-Unis,Joe Berlinger,"Present-day interviews, archival footage and audio recordings made on death row form a searing portrait of notorious serial killer Ted Bundy.",1,4,EN_COURS
S057,Dear White People,Dear White People,2021,6.1,Comédie,États-Unis,Justin Simien,"Students of color navigate the daily slights and slippery politics of life at an Ivy League college that's not nearly as ""post-racial"" as it thinks.",1,20,EN_COURS
S058,The Dark Crystal: Age of Resistance,The Dark Crystal: Age of Resistance,2019,8.4,Science-Fiction,Royaume-Uni,"Jeffrey Addiss, Will Matthews","As power-hungry overlords drain life from the planet Thra, a group of brave Gelfling unite on a quest to save their world and fight off the darkness.",1,10,EN_COURS
S059,The Get Down,The Get Down,2017,8.2,Drame,États-Unis,Baz Luhrmann,"In 1977 New York City, the talented and soulful youth of the South Bronx chase dreams and breakneck beats to transform music history.",1,11,TERMINEE
S060,The Dragon Prince,The Dragon Prince,2019,8.4,Action,États-Unis,"Aaron Ehasz, Justin Richmond",An extraordinary discovery inspires two human princes and an elven assassin to team up on an epic quest to bring peace to their warring lands.,2,18,EN_COURS
S061,Quicksand,Quicksand,2019,7.5,Drame,Suède,Pontus Edgren,"After a tragedy at a school sends shock waves through a wealthy Stockholm suburb, a seemingly well-adjusted teen finds herself on trial for murder.",1,6,EN_COURS
S062,Friends from College,Friends from College,2019,6.9,Comédie,États-Unis,"Nicholas Stoller, Francesca Delbanco","Twenty years after graduation, a tight-knit group of college friends reconnects and discovers that love hasn't gotten easier with age.",2,16,TERMINEE
S063,Devilman Crybaby,Devilman Crybaby,2018,7.6,Animation,Japon,Masaaki Yuasa,"With demons reawakened and humanity in turmoil, a sensitive demon-boy is led into a brutal, degenerate war against evil by his mysterious friend, Ryo.",1,10,EN_COURS
S064,Delhi Crime,Delhi Crime,2019,8.5,Drame,Inde,Richie Mehta,"As Delhi reels in the aftermath of a gang rape, DCP Vartika Chaturvedi leads a painstaking search for the culprits. Based on the 2012 Nirbhaya case.",1,7,EN_COURS
S065,Queer Eye,Queer Eye,2020,8.5,Documentaire,États-Unis,David Collins,"An all-new “Fab Five” advise men on fashion, grooming, food, culture and design in this modern reboot of the Emmy Award-winning reality series.",3,24,EN_COURS
S066,Everything Sucks!,Everything Sucks!,2018,7.5,Drame,États-Unis,"Ben York Jones, Michael Mohan","It's 1996 in a town called Boring, where high school misfits in the AV and drama clubs brave the ups and downs of teenage life in the VHS era.",1,10,TERMINEE
S067,Girlboss,Girlboss,2017,6.9,Comédie,États-Unis,Kay Cannon,"Rebellious and broke, Sophia stumbles into creating an online business and learns how to be the boss. A comedy inspired by the best-selling memoir.",1,13,TERMINEE
S068,Paradise PD,Paradise PD,2021,6.8,Comédie,États-Unis,"Waco O’Guin, Roger Black","An eager young rookie joins the ragtag small-town police force led by his dad as they bumble, squabble and snort their way through a big drug case.",1,10,EN_COURS
S069,Gypsy,Gypsy,2017,6.8,Drame,États-Unis,Lisa Rubin,Therapist Jean Holloway develops dangerous and intimate relationships with the people in her patients' lives in this simmering psychological thriller.,1,10,TERMINEE
S070,One Day at a Time,One Day at a Time,2019,8.1,Comédie,États-Unis,"Gloria Calderón Kellett, Mike Royce","In a reimagining of the TV classic, a newly single Latina mother raises her teen daughter and tween son with the ""help"" of her old-school mom.",3,39,TERMINEE
S071,On My Block,On My Block,2020,7.9,Comédie,États-Unis,Lauren Iungerich,"In a rough inner-city Los Angeles neighborhood, four smart, funny and streetwise teens find their lifelong friendship tested as they begin high school.",2,20,EN_COURS
S072,BONDING,BONDING,2021,7.1,Drame,États-Unis,Rightor Doyle,A New York City grad student moonlighting as a dominatrix enlists her gay BFF from high school to be her assistant.,1,7,EN_COURS
S073,She-Ra and the Princesses of Power,She-Ra and the Princesses of Power,2020,7.8,Science-Fiction,États-Unis,Noelle Stevenson,"Soldier Adora finds a magic sword – and her identity as legendary hero She-Ra. She joins the Rebellion, but her best friend stays with the evil Horde.",2,20,EN_COURS
S074,Chef's Table,Chef's Table,2019,8.5,Documentaire,États-Unis,David Gelb,"In this Emmy-nominated docuseries, find out what's inside the kitchens and minds of the international culinary stars who are redefining gourmet food.",1,30,EN_COURS
S075,Seven Seconds,Seven Seconds,2018,7.7,Crime,États-Unis,Veena Sud,The death of a 15-year-old African American boy in Jersey City sets off a police cover-up and a search for the truth.,1,10,TERMINEE
S076,Suburra: Blood on Rome,Suburra: Blood on Rome,2020,7.9,Drame,Italie,Barbara Petronio,"In 2008, a fight over land in a seaside town near Rome spirals into a deadly battle between organized crime, corrupt politicians and the Vatican.",2,18,EN_COURS
S077,Cable Girls,Cable Girls,2019,7.6,Drame,Espagne,Ramón Campos,"In 1920s Madrid, four women at the National Telephone Company ring in revolution as they manage romance, friendship and the modern workplace.",3,24,EN_COURS
S078,Dogs of Berlin,Dogs of Berlin,2018,7.5,Crime,Allemagne,Christian Alvart,"Two cops investigate the murder of a famous Turkish-German soccer player, but one of them has underworld connections that mire the case in controversy.",1,10,EN_COURS
S079,I Think You Should Leave with Tim Robinson,I Think You Should Leave with Tim Robinson,2021,7.9,Comédie,États-Unis,"Tim Robinson, Zach Kanin",There is no such thing as an ordinary interaction in this offbeat sketch comedy series that features a deep roster of guest stars.,1,6,EN_COURS
S080,Flaked,Flaked,2017,7.2,Comédie,États-Unis,"Will Arnett, Mark Chappell","In his funky California beach enclave, Chip's the go-to guy for personal insights. But he isn't quite as enlightened when it comes to his own baggage.",2,14,TERMINEE
S081,Baby,Baby,2020,6.8,Drame,Italie,Antonio Le Fosse,"Fed up with their families and classmates, two teen girls from a wealthy part of Rome are drawn to the city's underworld and start leading double lives.",1,6,EN_COURS
S082,Trinkets,Trinkets,2020,7.0,Drame,États-Unis,"Amy Andelson, Emily Meyer",A grieving teen finds an unexpected connection with two classmates at her new high school after they all land in the same Shoplifters Anonymous group.,1,10,EN_COURS
S083,The Disappearance of Madeleine McCann,The Disappearance of Madeleine McCann,2019,6.6,Crime,Royaume-Uni,Chris Smith,"The documentary takes a detailed look at the disappearance of 3-year-old Madeleine McCann, who vanished while on holiday with her family.",1,8,EN_COURS
S084,Hilda,Hilda,2021,8.5,Animation,Royaume-Uni,Luke Pearson,"Fearless, free-spirited Hilda finds new friends, adventure and magical creatures when she leaves her enchanted forest home and journeys to the city.",1,13,EN_COURS
S085,Disjointed,Disjointed,2018,6.7,Comédie,États-Unis,"David Javerbaum, Chuck Lorre",Pot activist Ruth Whitefeather Feldman runs a medical marijuana dispensary while encouraging her loyal patients to chill out and enjoy the high life.,1,20,TERMINEE
S086,Jinn,Jinn,2019,3.4,Drame,Jordan,Mir-Jean Bou Chaaya,"On a field trip to Petra, two jinns – one good, the other evil – enter the human realm, turning high school into a supernatural battleground.",1,5,EN_COURS
S087,Car Masters: Rust to Riches,Car Masters: Rust to Riches,2021,8.4,Documentaire,États-Unis,Mark Kadin,"The colorful crew at Gotham Garage overhauls an eclectic collection of cars and trucks, trading up to a showstopper they can sell for big bucks.",1,8,EN_COURS
S088,Special,Special,2021,7.6,Comédie,États-Unis,Ryan O’Connell,A young gay man with cerebral palsy branches out from his insular existence in hopes of finally going after the life he wants.,1,8,EN_COURS
S089,Dirty Money,Dirty Money,2020,8.1,Documentaire,États-Unis,Alex Gibney,"From crippling payday loans to cars that cheat emissions tests, this investigative series exposes brazen acts of corporate greed and corruption.",1,6,EN_COURS
S090,Explained,Explained,2021,8.0,Documentaire,États-Unis,"Ezra Klein, Joe Posner","This enlightening series from Vox digs into a wide range of topics such as the rise of cryptocurrency, why diets fail, and the wild world of K-pop.",1,20,EN_COURS
S091,Leila,Leila,2019,4.9,Science-Fiction,Inde,Urmi Juvekar,"In a near-future world where an oppressive regime segregates society, one woman skirts the system to search for the daughter taken from her years ago.",1,6,EN_COURS
S092,Voltron: Legendary Defender,Voltron: Legendary Defender,2018,8.1,Action,États-Unis,"Joaquim Dos Santos, Lauren Montgomery","In an all-new series, five unlikely heroes and their flying robot lions unite to form the megapowerful Voltron and defend the universe from evil.",8,78,TERMINEE
S093,Wet Hot American Summer: Ten Years Later,Wet Hot American Summer: Ten Years Later,2017,6.9,Comédie,États-Unis,"David Wain, Michael Showalter","A decade after their wild summer as junior counselors, the gang reunites for a weekend of bonding, hanky-panky and hair-raising adventures.",1,8,EN_COURS
S094,Chambers,Chambers,2019,6.4,Drame,États-Unis,Leah Rachel,"Haunted by eerie visions and sinister impulses after a heart transplant, a teenager tries to unmask the truth behind her donor's mysterious death.",1,10,TERMINEE
S095,Sunderland 'Til I Die,Sunderland 'Til I Die,2020,8.1,Documentaire,Royaume-Uni,Gabe Turner,This docuseries follows English soccer club Sunderland through the 2017-18 season as they try to bounce back after relegation from the Premier League.,1,8,EN_COURS
S096,Tidelands,Tidelands,2018,6.8,Science-Fiction,Australie,Stephen M. Irwin,"Ex-con Cal McTeer's return to her hometown of Orphelin Bay blows the lid off a generations-long conspiracy of silence around murder, drugs and Sirens.",1,8,EN_COURS
S097,The House of Flowers,The House of Flowers,2020,7.6,Comédie,Mexique,Manolo Caro,"In this dark comedy, a wealthy matriarch tries to maintain her family's facade of perfection after her husband's mistress exposes their dirty secrets.",1,13,EN_COURS
S098,Turn Up Charlie,Turn Up Charlie,2019,7.0,Comédie,Royaume-Uni,"Idris Elba, Gary Reich",A down-and-out DJ plots to rebuild his music career while working as a nanny for his famous best friend's wild 11-year-old daughter.,1,8,EN_COURS
S099,High Seas,High Seas,2020,6.8,Crime,Espagne,"Ramón Campos, Gema R. Neira",Two sisters discover disturbing family secrets after a string of mysterious deaths occur on a luxury ship traveling from Spain to Brazil in the 1940s.,1,8,EN_COURS
S100,Patriot Act with Hasan Minhaj,Patriot Act with Hasan Minhaj,2020,8.2,Comédie,États-Unis,"Hasan Minhaj, Prashanth Venkataramanujam","Every Sunday, Hasan Minhaj brings an incisive and nuanced perspective to global news, politics and culture in his unique comedy series.",1,19,EN_COURS
