id,titre,titre_original,annee_sortie,note,genre,pays_production,realisateur,description,duree_minutes
F028,Kung Fu Panda 2,Kung Fu Panda 2,2011,7.2,Animation,États-Unis,Jennifer Yuh Nelson,"With his fists up and belly full, Po embarks on a perilous journey with the Furious Five to take on a frightful new enemy and save the art of kung fu.",90
F029,Olympus Has Fallen,Olympus Has Fallen,2013,6.5,Action,États-Unis,Antoine Fuqua,A disgraced Secret Service agent must come to the rescue when Korean terrorists descend on the White House and take the president hostage.,120
F030,Nocturnal Animals,Nocturnal Animals,2016,7.5,Thriller,États-Unis,Tom Ford,"Reading her ex-husband's violent novel manuscript destabilizes gallery owner Susan's life, upending her present while digging up their past.",117
F031,The Conjuring 2,The Conjuring 2,2016,7.3,Horreur,Canada,James Wan,"After her daughter unwittingly releases a malevolent spirit in their house in London, a woman enlists the Warrens' help to confront the evil presence.",134
F032,Boogie Nights,Boogie Nights,1997,7.9,Drame,États-Unis,Paul Thomas Anderson,A well-endowed busboy is taken in by a tight-knit group of 1970s porn actors and transforms himself into skin flick celebrity Dirk Diggler.,156
F033,Unknown,Unknown,2011,6.8,Thriller,Royaume-Uni,Jaume Collet-Serra,"Liam Neeson stars as a man who regains consciousness after a car accident, only to discover that another man is impersonating him.",113
F034,Blow,Blow,2001,7.5,Crime,États-Unis,Ted Demme,Cocaine smuggler George rises from poverty to become one of the biggest drug dealers in America before his eventual downfall.,124
F035,Total Recall,Total Recall,1990,6.2,Science-Fiction,États-Unis,Paul Verhoeven,"After getting a memory implant, working stiff Douglas Quaid discovers he might actually be a secret agent embroiled in a violent insurrection on Mars.",118
F036,Grown Ups,Grown Ups,2010,5.9,Comédie,États-Unis,Dennis Dugan,"Mourning the loss of their beloved junior high basketball coach, five middle-aged pals reunite at a lake house and rediscover the joys of being a kid.",102
F037,Chappie,Chappie,2015,6.8,Crime,Afrique du Sud,Neill Blomkamp,"In a futuristic society where an indestructible robot police force keeps crime at bay, a lone droid evolves to the next level of artificial intelligence.",120
F038,21,21,2008,6.8,Crime,États-Unis,Robert Luketic,A brilliant group of students become card-counting experts with the intent of swindling millions out of Las Vegas casinos by playing blackjack.,123
F039,Wind River,Wind River,2017,7.7,Thriller,Royaume-Uni,Taylor Sheridan,A tracker with the U.S. Fish and Wildlife Service assists a rookie FBI agent who's investigating a teen girl's murder on a remote Wyoming reservation.,107
F040,The Bucket List,The Bucket List,2007,7.4,Drame,États-Unis,Rob Reiner,Two terminally ill men bust out of the cancer ward with a plan to experience life to the fullest before they kick the bucket.,97
F041,Cloudy with a Chance of Meatballs,Cloudy with a Chance of Meatballs,2009,6.9,Animation,États-Unis,Phil Lord,"When inventor Flint Lockwood makes clouds rain food, the citizens of Chewandswallow can feed themselves. But a bowl of disaster is about to overflow.",90
F042,Hell or High Water,Hell or High Water,2016,7.6,Thriller,États-Unis,David Mackenzie,"In a desperate bid to save their family ranch, two brothers stage a series of clever bank robberies with a pair of Texas Rangers in hot pursuit.",102
F043,Ip Man,Ip Man,2008,8.0,Drame,Hong Kong,Wilson Yip,"An occupying Japanese general challenges Chinese men to duels to prove the superiority of the Japanese, but Ip Man refuses to fight – at first.",106
F044,El Camino: A Breaking Bad Movie,El Camino: A Breaking Bad Movie,2019,7.3,Crime,États-Unis,Vince Gilligan,"Fugitive Jesse Pinkman attempts to outrun his past. Written and directed by ""Breaking Bad"" creator Vince Gilligan, starring Aaron Paul.",123
F045,Get Smart,Get Smart,2008,6.5,Comédie,États-Unis,Peter Segal,"When the identities of secret agents are compromised, hapless Maxwell Smart teams with far more capable Agent 99 to thwart an evil terrorist group.",110
F046,Big Daddy,Big Daddy,1999,6.4,Drame,États-Unis,Dennis Dugan,"Dumped by his girlfriend because he refuses to accept responsibility, overgrown adolescent Sonny Koufax adopts a 5-year-old to prove he's a grownup.",93
F047,War Dogs,War Dogs,2016,7.1,Crime,États-Unis,Todd Phillips,A massage therapist gets in over his head when he partners with a charismatic childhood pal in the lucrative but shady business of global arms dealing.,114
F048,The Talented Mr. Ripley,The Talented Mr. Ripley,1999,7.4,Thriller,États-Unis,Anthony Minghella,"A charming sociopath maneuvers into the lush life of a young heir. But as he embraces the posh lifestyle, he'll stop at nothing to hold onto it.",139
F049,Blue Jasmine,Blue Jasmine,2013,7.3,Drame,États-Unis,Woody Allen,The high life leads to high anxiety for a fashionable New York City homemaker in crisis who finds herself forced to live a more modest lifestyle.,99
F050,Extraction,Extraction,2015,6.7,Crime,États-Unis,Steven C. Miller,"When a retired CIA agent is kidnapped, his son, a government analyst, embarks on an unauthorized mission to find him and halt a terrorist plot.",116
F051,Harold & Kumar Go to White Castle,Harold & Kumar Go to White Castle,2004,7.0,Comédie,États-Unis,Danny Leiner,Buddies Harold and Kumar set out to satisfy a stoner craving for hamburgers but end up on an epic journey when they can't find White Castle.,83
F052,Bright,Bright,2017,6.3,Fantastique,États-Unis,David Ayer,"In an LA rife with interspecies tensions, a human cop and his orc partner stumble on a powerful object and become embroiled in a prophesied turf war.",117
F053,The Danish Girl,The Danish Girl,2015,7.1,Drame,Royaume-Uni,Tom Hooper,"In 1920s Denmark, married artists embark on a journey of unconditional love when the husband announces his intentions to live life as a woman.",119
F054,PK,PK,2014,8.1,Drame,Inde,Rajkumar Hirani,Aamir Khan teams with director Rajkumar Hirani to play a social crusader in a political satire on the state of corruption in India.,153
F055,Legend,Legend,2015,6.9,Thriller,Royaume-Uni,Brian Helgeland,Identical twins and notorious gangsters Reggie and Ronnie Kray elude the authorities in 1960s London while transfixing and terrifying the public.,131
F056,The Trial of the Chicago 7,The Trial of the Chicago 7,2020,7.7,Drame,États-Unis,Aaron Sorkin,What was supposed to be a peaceful protest turned into a violent clash with the police. What followed was one of the most notorious trials in history.,130
F057,6 Underground,6 Underground,2019,6.1,Thriller,États-Unis,Michael Bay,"After faking his death, a tech billionaire recruits a team of international operatives for a bold and bloody mission to take down a brutal dictator.",128
F058,Army of the Dead,Army of the Dead,2021,5.7,Horreur,États-Unis,Zack Snyder,"After a zombie outbreak in Las Vegas, a group of mercenaries takes the ultimate gamble by venturing into the quarantine zone for the greatest heist ever.",148
F059,Steve Jobs,Steve Jobs,2015,7.2,Biographie,Royaume-Uni,Danny Boyle,"By keying in on three crucial points in his career, this biopic shows the human foibles and visionary fearlessness of the man who made the Mac.",125
F060,Molly's Game,Molly's Game,2017,7.4,Drame,Chine,Aaron Sorkin,Former Olympian Molly Bloom ran a high-stakes poker game for the stars – until her lofty lifestyle nearly sent her to prison.,140
F061,Enola Holmes,Enola Holmes,2020,6.6,Crime,Royaume-Uni,Harry Bradbeer,"While searching for her missing mother, intrepid teen Enola Holmes uses her sleuthing skills to outsmart big brother Sherlock and help a runaway lord.",123
F062,The Old Guard,The Old Guard,2020,6.6,Fantastique,États-Unis,Gina Prince-Bythewood,Four undying warriors who've secretly protected humanity for centuries become targeted for their mysterious powers just as they discover a new immortal.,125
F063,ROMA,ROMA,2018,7.7,Drame,Mexique,Alfonso Cuarón,"Director Alfonso Cuarón delivers a vivid, emotional portrait of domestic life and social hierarchy set against Mexico's political turmoil of the 1970s.",135
F064,Monster,Monster,2021,7.3,Crime,États-Unis,Anthony Mandler,A talented teen implicated in a robbery-turned-murder fights for his innocence and integrity against a criminal justice system that’s already judged him.,110
F065,The Lake House,The Lake House,2006,6.8,Drame,États-Unis,Alejandro Agresti,"A lonely doctor begins writing letters to the frustrated architect who lives in her former home, only to discover that they're living two years apart.",99
F066,Starsky & Hutch,Starsky & Hutch,2004,6.1,Comédie,États-Unis,Todd Phillips,New undercover cop partners Starsky and Hutch must overcome their differences to solve an important case with help from street informant Huggy Bear.,101
F067,Crimson Peak,Crimson Peak,2015,6.5,Horreur,Canada,Guillermo del Toro,"After marrying a mysterious British aristocrat, a young heiress moves into his crumbling, creepy ancestral home and finds it conceals sinister secrets.",119
F068,The Ballad of Buster Scruggs,The Ballad of Buster Scruggs,2018,7.3,Action,États-Unis,Joel Coen,"Ranging from absurd to profound, these Western vignettes from the Coen brothers follow the adventures of outlaws and settlers on the American frontier.",132
F069,Klaus,Klaus,2019,8.1,Fantastique,Espagne,Sergio Pablos,"A selfish postman and a reclusive toymaker form an unlikely friendship, delivering joy to a cold, dark town that desperately needs it.",96
F070,The Texas Chainsaw Massacre,The Texas Chainsaw Massacre,1974,6.2,Horreur,États-Unis,Tobe Hooper,"When some friends visit a vandalized graveyard, they come upon a chainsaw-wielding maniac, and it's a fight to the bloody death between good and evil.",98
F071,"Hail, Caesar!","Hail, Caesar!",2016,6.3,Comédie,États-Unis,Ethan Coen,"When a major star is kidnapped from a movie set, a hard-charging but overwhelmed studio boss sets out to find the actor and save the film.",106
F072,The Men Who Stare at Goats,The Men Who Stare at Goats,2009,6.2,Comédie,États-Unis,Grant Heslov,"A journalist latches onto an unbelievable story in Iraq when he meets Lyn, a man of mysterious origins who reveals he was a ""warrior monk.""",94
F073,Life as We Know It,Life as We Know It,2010,6.5,Comédie,États-Unis,Greg Berlanti,"Holly and Eric discover reciprocal hatred during their first date, but must put their feelings aside after becoming guardians of their friends' baby.",114
F074,"10,000 B.C.","10,000 B.C.",2008,5.1,Action,États-Unis,Roland Emmerich,Fierce mammoth hunter D'Leh sets out on an impossible journey to rescue the woman he loves from a vicious warlord and save the people of his village.,109
F075,Savages,Savages,2012,6.4,Drame,États-Unis,Oliver Stone,"With the help of a shady DEA agent, two weed entrepreneurs take on a merciless cartel leader who wants in on their business and kidnaps their lover.",131
F076,I Care a Lot,I Care a Lot,2021,6.3,Drame,Royaume-Uni,J Blakeson,A court-appointed legal guardian defrauds her older clients and traps them under her care. But her latest mark comes with some unexpected baggage.,118
F077,Cliffhanger,Cliffhanger,1993,6.5,Action,États-Unis,Renny Harlin,"Ranger Gabe Walker and his partner are called to rescue a group of stranded climbers, only to learn the climbers are actually thieving hijackers.",112
F078,Hunt for the Wilderpeople,Hunt for the Wilderpeople,2016,7.8,Drame,Nouvelle-Zélande,Taika Waititi,A misadventure in the wilderness leads to life-changing discoveries for a troubled orphan teen from the city and his belligerent foster father.,101
F079,Triple Frontier,Triple Frontier,2019,6.4,Thriller,États-Unis,J.C. Chandor,"Loyalties are tested when five former special forces operatives reunite to steal a drug lord's fortune, unleashing a chain of unintended consequences.",125
F080,Murder Mystery,Murder Mystery,2019,6.0,Comédie,États-Unis,Kyle Newacheck,"On a long-awaited trip to Europe, a New York City cop and his hairdresser wife scramble to solve a baffling murder aboard a billionaire's yacht.",90
F081,The King,The King,2019,7.2,Biographie,Royaume-Uni,David Michôd,Wayward Prince Hal must turn from carouser to warrior king as he faces hostilities from inside and outside the castle walls in the battle for England.,140
F082,The Edge of Seventeen,The Edge of Seventeen,2016,7.3,Drame,États-Unis,Kelly Fremon Craig,A troubled teenager finds high school life even less bearable after she catches her childhood best friend hooking up with her popular older brother.,105
F083,Hush,Hush,2016,6.6,Horreur,États-Unis,Mike Flanagan,A deaf writer who retreated into the woods to live a solitary life must fight for her life in silence when a masked killer appears in her window.,82
F084,The Devil All The Time,The Devil All The Time,2020,7.1,Crime,États-Unis,Antonio Campos,Sinister characters converge around a young man devoted to protecting those he loves in a postwar backwoods town teeming with corruption and brutality.,138
F085,The Two Popes,The Two Popes,2019,7.6,Drame,Royaume-Uni,Fernando Meirelles,"At a key turning point for the Catholic Church, Pope Benedict XVI forms a surprising friendship with the future Pope Francis. Inspired by true events.",125
F086,Tears of the Sun,Tears of the Sun,2003,6.6,Guerre,États-Unis,Antoine Fuqua,"A Navy SEAL is sent to a war-torn African jungle to rescue a doctor, only to realize he must also save the refugees in the physician's care.",121
F087,The Call,The Call,2020,6.7,Thriller,Corée du Sud,Lee Chung-hyun,"Connected by phone in the same home but 20 years apart, a serial killer puts another woman’s past — and life — on the line to change her own fate.",94
F088,What Happened to Monday,What Happened to Monday,2017,6.8,Science-Fiction,Royaume-Uni,Tommy Wirkola,"In a future with a strict one-child policy, six septuplets must avoid government detection while searching for their missing sister.",123
F089,Rang De Basanti,Rang De Basanti,2006,8.1,Drame,Inde,Rakeysh Omprakash Mehra,An idealistic English filmmaker casts a group of student actors in her docudrama about India's revolution against British rule in the 1920s.,157
F090,Monster House,Monster House,2006,6.6,Animation,États-Unis,Gil Kenan,"A trio of friends sets out to expose the terrors of a vacant neighborhood house, which appears to have a craving for people — and a life of its own.",91
F091,Okja,Okja,2017,7.3,Science-Fiction,Corée du Sud,Bong Joon Ho,"A gentle giant and the girl who raised her are caught in the crossfire between animal activism, corporate greed and scientific ethics.",122
F092,The Foreigner,The Foreigner,2017,7.0,Action,Royaume-Uni,Martin Campbell,"After his daughter is killed by terrorists, a sullen restaurateur seeks the identities of those responsible and travels to Ireland to take vengeance.",113
F093,Bonnie and Clyde,Bonnie and Clyde,1967,7.7,Crime,États-Unis,Arthur Penn,"Bonnie Parker and Clyde Barrow are young, in love and on the run during a bullet-riddled bank robbery spree across Depression-ravaged America.",110
F094,Den of Thieves,Den of Thieves,2018,7.0,Thriller,États-Unis,Christian Gudegast,A highly skilled crew of bank robbers plotting a heist at the supposedly impenetrable Federal Reserve faces off against an elite unit of L.A. cops.,140
F095,Friday the 13th,Friday the 13th,2009,5.5,Horreur,États-Unis,Marcus Nispel,"A group of teenage camp counselors raises the ire of Jason Voorhees, a masked, homicidal maniac, in this remake of the classic slasher flick.",97
F096,The Interpreter,The Interpreter,2005,6.4,Thriller,Royaume-Uni,Sydney Pollack,Silvia Broome is a translator at the United Nations. But her job turns perilous when she overhears a plot to assassinate a government official.,128
F097,Not Another Teen Movie,Not Another Teen Movie,2001,5.7,Comédie,États-Unis,Joel Gallen,"On a bet, a gridiron hero at John Hughes High School sets out to turn a bespectacled artist into a prom queen in this outrageous parody.",89
F098,Ip Man 2,Ip Man 2,2010,7.5,Drame,Hong Kong,Wilson Yip,"New in Hong Kong, martial arts instructor Ip Man perseveres and retaliates against his rivals' opposition to the Wing Chun fighting style he teaches.",108
F099,The Cloverfield Paradox,The Cloverfield Paradox,2018,5.5,Horreur,États-Unis,Julius Onah,"Orbiting above a planet on the brink of war, scientists test a device to solve an energy crisis and end up face-to-face with a dark alternate reality.",102
F100,The Mitchells vs. The Machines,The Mitchells vs. The Machines,2021,7.6,Comédie,États-Unis,Mike Rianda,A robot apocalypse put the brakes on their cross-country road trip. Now it’s up to the Mitchells — the world’s weirdest family — to save the human race.,109
F101,In the Line of Fire,In the Line of Fire,1993,7.2,Drame,États-Unis,Wolfgang Petersen,A twisted yet ingenious killer torments a veteran Secret Service agent who's haunted by his failure years ago to save President John F. Kennedy.,128
F102,Cloudy with a Chance of Meatballs 2,Cloudy with a Chance of Meatballs 2,2013,6.3,Animation,États-Unis,Cody Cameron,"Inventor Flint Lockwood battles mutant food beasts created by his notorious machine, including shrimpanzees, tacodiles and jellyfish sandwiches.",95
F103,Home,Home,2015,6.6,Famille,États-Unis,Tim Johnson,"When misfit alien Oh mistakenly sends a party invite to the entire galaxy, he goes on the run to avoid trouble and befriends spunky human girl Tip.",94
F104,To All the Boys I’ve Loved Before,To All the Boys I’ve Loved Before,2018,7.1,Comédie,États-Unis,Susan Johnson,"When her secret love letters somehow get mailed to each of her five crushes, Lara Jean finds her quiet high school existence turned upside down.",100
F105,Collateral Beauty,Collateral Beauty,2016,6.7,Romance,États-Unis,David Frankel,An advertising executive wrestling with grief finds meaning by writing letters to unconventional recipients as caring colleagues plot a ruse.,97
F106,Philomena,Philomena,2013,7.6,Drame,Royaume-Uni,Stephen Frears,A kind-hearted Irishwoman teams with an acerbic journalist to find the son she was forced to give up for adoption 50 years ago.,97
F107,Selfless,Selfless,2015,6.5,Thriller,États-Unis,Tarsem Singh,"A dying tycoon has his consciousness transplanted into the body of a healthy young man, only to make a troubling discovery about the body's origin.",118
F108,The Ritual,The Ritual,2018,6.3,Thriller,Royaume-Uni,David Bruckner,"Four friends with a long-standing – but strained – connection take a hiking trip into the Swedish wilderness, from which they may never return.",94
F109,"Extremely Wicked, Shockingly Evil and Vile","Extremely Wicked, Shockingly Evil and Vile",2019,6.7,Crime,États-Unis,Joe Berlinger,Single mother Liz falls for Ted Bundy and refuses to believe the truth about his crimes for years. A drama based on a true story.,110
F110,Eurovision Song Contest: The Story of Fire Saga,Eurovision Song Contest: The Story of Fire Saga,2020,6.5,Musical,États-Unis,David Dobkin,"Two small-town singers chase their pop star dreams at a global music competition, where high stakes, scheming rivals and onstage mishaps test their bond.",123
F111,The Boy,The Boy,2016,6.0,Horreur,États-Unis,William Brent Bell,A nanny is hired by a couple to look after their boy. She's shocked to learn that her charge is actually a doll that the couple treats like a human.,97
F112,Andhadhun,Andhadhun,2018,8.2,Thriller,Inde,Sriram Raghavan,A visually impaired pianist’s world careens into a series of shocking twists after he unintentionally lands at the murder scene of a former film star.,139
F113,Good Luck Chuck,Good Luck Chuck,2007,5.6,Comédie,États-Unis,Mark Helfrich,"Every time Chuck breaks up with a girlfriend, she ends up engaged to her next boyfriend. Soon, women are dating Chuck in hopes of meeting Mr. Right.",101
F114,The Smurfs,The Smurfs,2011,5.4,Animation,États-Unis,Raja Gosnell,"When evil Gargamel tries to capture them, the Smurfs flee their woodland home, pass through a magic portal and find themselves stranded in New York.",103
F115,I Am Mother,I Am Mother,2019,6.7,Science-Fiction,Australie,Grant Sputore,"Following humanity's mass extinction, a teen raised alone by a maternal droid finds her entire world shaken when she encounters another human.",114
F116,American Ultra,American Ultra,2015,6.1,Action,États-Unis,Nima Nourizadeh,"He's just a weed fiend going nowhere, or so he thinks. When the CIA tries to eliminate him, his long-dormant superspy training comes roaring back.",96
F117,The Highwaymen,The Highwaymen,2019,6.9,Drame,États-Unis,John Lee Hancock,Two steely former Texas Rangers are tasked with tracking and killing infamous criminals Bonnie and Clyde in this crime drama based on real events.,133
F118,Swades,Swades,2004,8.1,Drame,Inde,Ashutosh Gowariker,An Americanized NASA scientist returns to his native India on a business trip and searches for the nanny who helped raise him.,189
F119,A Monster Calls,A Monster Calls,2016,7.4,Drame,Royaume-Uni,J.A. Bayona,"Overwhelmed by his mother’s illness, a young boy begins to understand human complexity through the fantastic tales of a consoling tree monster.",108
F120,The Babysitter,The Babysitter,2017,6.4,Comédie,États-Unis,McG,"When Cole stays up past his bedtime, he discovers that his hot babysitter is part of a satanic cult that will stop at nothing to keep him quiet.",85
F121,Spenser Confidential,Spenser Confidential,2020,6.2,Action,États-Unis,Peter Berg,"Spenser, an ex-cop and ex-con, teams up with aspiring fighter Hawk to uncover a sinister conspiracy tied to the deaths of two Boston police officers.",111
F122,Project Power,Project Power,2020,6.0,Crime,États-Unis,Henry Joost,"An ex-soldier, a teen and a cop collide in New Orleans as they hunt for the source behind a dangerous new pill that grants users temporary superpowers.",113
F123,365 Days,365 Days,2020,3.3,Romance,Pologne,Barbara Białowąs,"A fiery executive in a spiritless relationship falls victim to a dominant mafia boss, who imprisons her and gives her one year to fall in love with him.",114
F124,Death Note,Death Note,2017,4.5,Horreur,États-Unis,Adam Wingard,"Light Turner finds a supernatural notebook and uses it to mete out death, attracting the attention of a detective, a demon and a girl in his class.",101
F125,I'm Thinking of Ending Things,I'm Thinking of Ending Things,2020,6.6,Drame,États-Unis,Charlie Kaufman,Nothing is as it seems when a woman experiencing misgivings about her new boyfriend joins him on a road trip to meet his parents at their remote farm.,134
F126,The Kissing Booth,The Kissing Booth,2018,5.9,Comédie,Royaume-Uni,Vince Marcello,"When teenager Elle's first kiss leads to a forbidden romance with the hottest boy in high school, she risks her relationship with her best friend.",105
F127,The Midnight Sky,The Midnight Sky,2020,5.6,Drame,États-Unis,George Clooney,"In the aftermath of a global catastrophe, a lone scientist in the Arctic races to contact a crew of astronauts with a warning not to return to Earth.",118
F128,Christine,Christine,2016,6.7,Horreur,Royaume-Uni,Antonio Campos,"In a film based on true events, an awkward but ambitious TV reporter struggles to adapt when she's ordered to focus on violent and salacious stories.",110
F129,Barfi!,Barfi!,2012,8.1,Drame,Inde,Anurag Basu,"Years after rejecting Barfii, a hearing and speech impaired young man, for a more ""appropriate"" suitor, Shruti finds herself falling for him.",151
F130,The Social Dilemma,The Social Dilemma,2020,7.6,Drame,États-Unis,Jeff Orlowski,"This documentary-drama hybrid explores the dangerous human impact of social networking, with tech experts sounding the alarm on their own creations.",94
F131,Beasts of No Nation,Beasts of No Nation,2015,7.7,Drame,États-Unis,Cary Joji Fukunaga,"When civil war tears his family apart, a young West African boy is forced to join a unit of mercenary fighters and transform into a child soldier.",137
F132,My Girl,My Girl,1991,6.9,Drame,États-Unis,Howard Zieff,This coming-of-age charmer follows a summer in the life of an 11-year-old girl who learns about love and loss as she grapples with profound changes.,103
F133,Drishyam,Drishyam,2015,8.2,Thriller,Inde,Nishikant Kamat,An unexceptional man becomes a murder suspect when the son of a high-ranking police official who harassed his daughter goes missing.,163
F134,Seventh Son,Seventh Son,2014,5.5,Action,États-Unis,Sergei Bodrov,"In the 18th century, apprentice exorcist Tom Ward is the lynchpin in a battle between good and evil when imprisoned witch Mother Malkin escapes.",102
F135,Zindagi Na Milegi Dobara,Zindagi Na Milegi Dobara,2011,8.1,Romance,Inde,Zoya Akhtar,Three friends on an adventurous road trip/bachelor party in Spain learn some lessons about themselves and each other that will change them forever.,166
F136,Dark Skies,Dark Skies,2013,6.3,Science-Fiction,États-Unis,Scott Stewart,"A family’s idyllic suburban life shatters when an alien force invades their home, and as they struggle to convince others of the deadly threat.",97
F137,Unfriended,Unfriended,2014,5.5,Thriller,États-Unis,Levan Gabriadze,Six teens whose cyberbullying drove their classmate to kill herself become the target of an online stalker with a lethal agenda.,82
F138,The Dig,The Dig,2021,7.1,Biographie,Royaume-Uni,Simon Stone,"On the eve of World War II, a British widow hires a self-taught archaeologist to dig up mysterious formations on her land, leading to a staggering find.",112
F139,The Woman in the Window,The Woman in the Window,2021,5.7,Drame,États-Unis,Joe Wright,"Confined to her home by agoraphobia, a psychologist becomes obsessed with her new neighbors — and solving a brutal crime she witnesses from her window.",100
F140,Fractured,Fractured,2019,6.4,Thriller,États-Unis,Brad Anderson,"After his wife and injured daughter disappear from an ER, a man conducts a panicked search and becomes convinced the hospital is hiding something.",99
F141,MANK,MANK,2020,6.8,Comédie,États-Unis,David Fincher,1930s Hollywood is reevaluated through the eyes of scathing wit and alcoholic screenwriter Herman J. Mankiewicz as he races to finish “Citizen Kane.”,131
