"id","type","titre","annee","note","genre","pays","realisateur","duree","nb_saisons","nb_episodes","statut","description","titre_original"
"MED-032","FILM","The Chosen",2016,5.6,"DRAME","Espagne","Antonio Chavarrías",111,"","","","Une histoire dramatique centree sur une communaute bouleversee par un evenement inattendu, entre tension et emotion.",""
"MED-033","FILM","Animals on the Loose: A You vs. Wild Movie",2021,7.4,"FAMILLE","États-Unis","Ben Simms",139,"","","","Dans ce film familial, un groupe de personnages hauts en couleur doit affronter des evenements qui bouleversent sa vie.",""
"MED-034","SERIE","The Velvet Collection",2017,7.2,"COMEDIE","Espagne","Jennifer Clark","",3,21,"ANNULEE","Une serie comedie qui explore le quotidien de une famille aux liens complexes et ses secrets.","El Ultimo Refugio"
"MED-035","FILM","It's for Your Own Good",2017,5.5,"COMEDIE","Espagne","Diego Morales",93,"","","","Dans ce film comedie, un groupe de personnages hauts en couleur doit affronter des evenements qui bouleversent sa vie.","La Promesa Rota"
"MED-036","FILM","Afterlife of the Party",2021,5.8,"FANTASTIQUE","États-Unis","Isabelle Moreau",109,"","","","Un film fantastique qui suit deux rivaux contraints de collaborer dans une histoire pleine de rebondissements.",""
"MED-037","FILM","The Legend of the Nahuala",2007,6.1,"FANTASTIQUE","Mexique","Camille Dubois",80,"","","","Un film fantastique qui suit deux rivaux contraints de collaborer dans une histoire pleine de rebondissements.","Una Estrella en la Noche"
"MED-038","FILM","Fadily Camara: La plus drôle de tes copines",2019,5.7,"COMEDIE","France","Laura Thompson",54,"","","","Dans ce film comedie, un groupe de personnages hauts en couleur doit affronter des evenements qui bouleversent sa vie.","Le Secret des Origines"
"MED-039","FILM","Marc Maron: Too Real",2017,7.2,"COMEDIE","États-Unis","Sophie Laurent",70,"","","","Ce long-metrage comedie raconte le parcours de un groupe de personnages hauts en couleur face a des choix difficiles.",""
"MED-040","SERIE","Legacies",2018,7.2,"DRAME","États-Unis","Francesca Romano","",4,40,"EN_COURS","Cette production dramatique suit l'evolution de une jeune femme qui decouvre un lourd secret episode apres episode.",""
"MED-041","FILM","Dana Carvey: Straight White Male, 60",2016,6.5,"COMEDIE","États-Unis","Paolo Conti",64,"","","","Un film comedie qui suit un enqueteur determine a resoudre une affaire dans une histoire pleine de rebondissements.",""
"MED-042","FILM","Christmas Catch",2018,5.3,"ROMANCE","Canada","Carlos Fernandez",80,"","","","Dans ce film romantique, un heros ordinaire plonge dans l'extraordinaire doit affronter des evenements qui bouleversent sa vie.",""
"MED-043","FILM","Edoardo Ferrario: Temi Caldi",2019,6.5,"COMEDIE","Italie","Luca Ferrari",65,"","","","Un recit comedie intense mettant en scene un groupe de personnages hauts en couleur.","La Promessa Infranta"
"MED-044","FILM","How to Be Really Bad",2018,6.2,"COMEDIE","Allemagne","Diego Morales",100,"","","","Une histoire comedie centree sur une famille aux liens complexes, entre tension et emotion.","Die Letzte Zuflucht"
"MED-045","FILM","Hey Arnold! The Jungle Movie",2017,7.5,"ANIMATION","États-Unis","Anna Bianchi",81,"","","","Ce long-metrage d'animation raconte le parcours de deux rivaux contraints de collaborer face a des choix difficiles.",""
"MED-046","SERIE","Gomorrah",2016,7.8,"CRIME","Italie","Roberto Colombo","",2,24,"TERMINEE","Cette production policier suit l'evolution de des amis dont les destins s'entremelent episode apres episode.","Gomorra"
"MED-047","FILM","Mercy Black",2019,7.3,"HORREUR","États-Unis","Owen Egerton",88,"","","","Ce long-metrage d'horreur raconte le parcours de une jeune femme qui decouvre un lourd secret face a des choix difficiles.",""
"MED-048","FILM","West Coast",2016,7.9,"COMEDIE","France","Benjamin Weill",81,"","","","Un recit comedie intense mettant en scene deux rivaux contraints de collaborer.",""
"MED-049","SERIE","The Hook Up Plan",2018,7.1,"COMEDIE","France","Jennifer Clark","",3,24,"ANNULEE","Une serie comedie qui explore le quotidien de une famille aux liens complexes et ses secrets.","Plan Coeur"
"MED-050","SERIE","Queer Eye Germany",2022,7.2,"REALITE","Allemagne","Lucia Fernandez","",1,6,"EN_COURS","Cette production de tele-realite suit l'evolution de une famille aux liens complexes episode apres episode.","Das Gebrochene Versprechen"
"MED-051","FILM","Locke",2013,7.3,"DRAME","Royaume-Uni","Steven Knight",85,"","","","Une histoire dramatique centree sur une famille aux liens complexes, entre tension et emotion.",""
"MED-052","FILM","The Fear of 13",2015,6.2,"DOCUMENTAIRE","Royaume-Uni","David Sington",95,"","","","Un recit documentaire intense mettant en scene des amis dont les destins s'entremelent.",""
"MED-053","FILM","No Strings Attached",2011,8.9,"COMEDIE","États-Unis","Ivan Reitman",109,"","","","Un film comedie qui suit des protagonistes confrontes a leur passe dans une histoire pleine de rebondissements.",""
"MED-054","SERIE","Sweet Tooth",2021,7.8,"DRAME","États-Unis","Miguel Torres","",2,18,"TERMINEE","Dans cette serie dramatique, des amis dont les destins s'entremelent navigue entre alliances et trahisons.",""
"MED-055","SERIE","13 Reasons Why",2017,7.5,"DRAME","États-Unis","Sabine Hoffmann","",4,40,"ANNULEE","Une serie dramatique qui explore le quotidien de une jeune femme qui decouvre un lourd secret et ses secrets.",""
"MED-056","SERIE","Godless",2017,7.6,"DRAME","États-Unis","Emma Wilson","",1,6,"EN_COURS","Une serie dramatique qui explore le quotidien de un heros ordinaire plonge dans l'extraordinaire et ses secrets.",""
"MED-057","FILM","Cousins",2021,6.9,"DRAME","Nouvelle-Zelande","Laura Thompson",98,"","","","Un recit dramatique intense mettant en scene une famille aux liens complexes.",""
"MED-058","FILM","Billy Elliot",2000,8.2,"DRAME","Royaume-Uni","Stephen Daldry",110,"","","","Ce long-metrage dramatique raconte le parcours de une famille aux liens complexes face a des choix difficiles.",""
"MED-059","FILM","Rising High",2020,5.9,"COMEDIE","Allemagne","James Carter",94,"","","","Une histoire comedie centree sur un groupe de personnages hauts en couleur, entre tension et emotion.","Der Schatten der Vergangenheit"
"MED-060","SERIE","Winx Club",2004,6.2,"ANIMATION","Italie","Stefan Becker","",8,64,"TERMINEE","Cette serie d'animation suit un personnage principal en quete de verite au fil de plusieurs saisons pleines de tensions.","Il Canto delle Origini"
"MED-061","FILM","Carlos Ballarta: furia ñera",2018,7.2,"COMEDIE","Mexique","Diego Morales",62,"","","","Dans ce film comedie, un heros ordinaire plonge dans l'extraordinaire doit affronter des evenements qui bouleversent sa vie.","El Silencio de los Culpables"
"MED-062","FILM","I, Potro",2018,6.2,"COMEDIE","Mexique","Carlos Fernandez",50,"","","","Dans ce film comedie, un enqueteur determine a resoudre une affaire doit affronter des evenements qui bouleversent sa vie.","La Noche de los Vencidos"
"MED-063","FILM","The Nightingale",2018,7.3,"THRILLER","Australie","Hans Mueller",136,"","","","Dans ce film a suspense, une jeune femme qui decouvre un lourd secret doit affronter des evenements qui bouleversent sa vie.",""
"MED-064","FILM","Grego Rossello: Disculpe las molestias",2019,4.5,"COMEDIE","Argentine","Camille Dubois",65,"","","","Dans ce film comedie, un groupe de personnages hauts en couleur doit affronter des evenements qui bouleversent sa vie.","Los Herederos Perdidos"
"MED-065","FILM","Tarif de nuit",2015,7.5,"DRAME","France","Julien Seri",81,"","","","Un film dramatique qui suit un groupe de personnages hauts en couleur dans une histoire pleine de rebondissements.",""
"MED-066","SERIE","Metal Shop Masters",2021,5.7,"REALITE","États-Unis","Claire Martin","",1,6,"ANNULEE","Dans cette serie de tele-realite, un personnage principal en quete de verite navigue entre alliances et trahisons.",""
"MED-067","SERIE","WHAT / IF",2019,6.3,"DRAME","États-Unis","Robert Anderson","",1,11,"EN_COURS","Dans cette serie dramatique, des amis dont les destins s'entremelent navigue entre alliances et trahisons.",""
"MED-068","FILM","City of God",2002,8.8,"DRAME","Bresil","Fernando Meirelles",130,"","","","Ce long-metrage dramatique raconte le parcours de des amis dont les destins s'entremelent face a des choix difficiles.","Cidade de Deus"
"MED-069","FILM","Schumacher",2021,7.4,"SPORT","Allemagne","Luca Ferrari",112,"","","","Ce long-metrage sportif raconte le parcours de une jeune femme qui decouvre un lourd secret face a des choix difficiles.","Die Stimmen der Stille"
"MED-070","SERIE","Control Z",2020,6.9,"DRAME","Mexique","Nathalie Petit","",3,36,"TERMINEE","Cette production dramatique suit l'evolution de deux rivaux contraints de collaborer episode apres episode.","El Murmullo de los Ausentes"
"MED-071","FILM","Wanted",2008,6.7,"ACTION","Allemagne","David Wright",110,"","","","Un recit action intense mettant en scene deux rivaux contraints de collaborer.","Die Engel des Viertels"
"MED-072","FILM","Heroes: Silence and Rock & Roll",2021,7.5,"DOCUMENTAIRE","Espagne","Sarah Mitchell",94,"","","","Dans ce film documentaire, un personnage principal en quete de verite doit affronter des evenements qui bouleversent sa vie.","El Despertar de la Arena"
"MED-073","SERIE","Single Wives",2018,6.4,"REALITE","Australie","Andreas Fischer","",1,12,"ANNULEE","Dans cette serie de tele-realite, un personnage principal en quete de verite navigue entre alliances et trahisons.",""
"MED-074","FILM","In Our Mothers' Gardens",2021,8.6,"DOCUMENTAIRE","États-Unis","Jean Dupont",84,"","","","Une histoire documentaire centree sur une communaute bouleversee par un evenement inattendu, entre tension et emotion.",""
"MED-075","FILM","The Edge of Democracy",2019,7.3,"DOCUMENTAIRE","Bresil","James Carter",121,"","","","Un film documentaire qui suit un enqueteur determine a resoudre une affaire dans une histoire pleine de rebondissements.","Os Anjos do Bairro"
"MED-076","SERIE","North & South",2004,6.7,"ROMANCE","Royaume-Uni","Jennifer Clark","",1,11,"EN_COURS","Cette serie romantique suit des amis dont les destins s'entremelent au fil de plusieurs saisons pleines de tensions.",""
"MED-077","FILM","Camarón: The Film",2018,7.5,"DOCUMENTAIRE","Espagne","Carlos Fernandez",104,"","","","Une histoire documentaire centree sur un personnage principal en quete de verite, entre tension et emotion.","La Sombra del Pasado"
"MED-078","SERIE","Barbarians",2020,7.2,"DRAME","Allemagne","Claire Martin","",1,7,"TERMINEE","Cette production dramatique suit l'evolution de deux rivaux contraints de collaborer episode apres episode.","Barbaren"
"MED-079","FILM","Playing for Keeps",2012,8.7,"COMEDIE","États-Unis","Gabriele Muccino",106,"","","","Une histoire comedie centree sur des amis dont les destins s'entremelent, entre tension et emotion.",""
"MED-080","FILM","Underworld",2003,8.6,"HORREUR","États-Unis","Len Wiseman",121,"","","","Ce long-metrage d'horreur raconte le parcours de deux rivaux contraints de collaborer face a des choix difficiles.",""
"MED-081","SERIE","In the Dark",2019,7.5,"DRAME","États-Unis","Roberto Colombo","",4,32,"ANNULEE","Cette production dramatique suit l'evolution de une communaute bouleversee par un evenement inattendu episode apres episode.",""
"MED-082","FILM","The (Silent) War",2019,5.5,"THRILLER","Espagne","Diego Morales",123,"","","","Ce long-metrage a suspense raconte le parcours de un personnage principal en quete de verite face a des choix difficiles.","Una Vida por Reconstruir"
"MED-083","SERIE","Made in Mexico",2018,3.9,"REALITE","États-Unis","Stefan Becker","",1,8,"EN_COURS","Dans cette serie de tele-realite, des amis dont les destins s'entremelent navigue entre alliances et trahisons.",""
"MED-084","SERIE","Dirty Lines",2022,7.4,"DRAME","Pays-Bas","Francesca Romano","",1,10,"TERMINEE","Cette production dramatique suit l'evolution de des protagonistes confrontes a leur passe episode apres episode.",""
"MED-085","SERIE","Marco Polo",2014,8.0,"ACTION","États-Unis","Javier Ruiz","",2,16,"ANNULEE","Cette serie action suit des amis dont les destins s'entremelent au fil de plusieurs saisons pleines de tensions.",""
"MED-086","FILM","The Reliant",2019,7.6,"DRAME","États-Unis","Paul Munger",116,"","","","Un film dramatique qui suit une famille aux liens complexes dans une histoire pleine de rebondissements.",""
"MED-087","SERIE","Murder Maps",2017,5.7,"CRIME","Royaume-Uni","Roberto Colombo","",2,24,"EN_COURS","Une serie policier qui explore le quotidien de une famille aux liens complexes et ses secrets.",""
"MED-088","FILM","Sister Cities",2016,7.0,"DRAME","États-Unis","Sean Hanish",88,"","","","Ce long-metrage dramatique raconte le parcours de un heros ordinaire plonge dans l'extraordinaire face a des choix difficiles.",""
"MED-089","SERIE","Haven",2015,6.1,"MYSTERE","Canada","Jennifer Clark","",5,40,"TERMINEE","Dans cette serie mysterieux, un heros ordinaire plonge dans l'extraordinaire navigue entre alliances et trahisons.",""
"MED-090","FILM","Freshman Year",2019,7.5,"DRAME","États-Unis","Jude Okwudiafor Johnson",104,"","","","Dans ce film dramatique, deux rivaux contraints de collaborer doit affronter des evenements qui bouleversent sa vie.",""
"MED-091","SERIE","Maron",2016,6.2,"COMEDIE","États-Unis","Giulia Marchetti","",4,44,"ANNULEE","Un show comedie captivant centre sur deux rivaux contraints de collaborer.",""
"MED-092","FILM","Quiet",2020,6.4,"DRAME","Chili","David Wright",102,"","","","Une histoire dramatique centree sur une jeune femme qui decouvre un lourd secret, entre tension et emotion.",""
"MED-093","FILM","On My Skin",2018,7.3,"DRAME","Italie","Marco Rossi",100,"","","","Ce long-metrage dramatique raconte le parcours de un groupe de personnages hauts en couleur face a des choix difficiles.","Il Risveglio della Sabbia"
"MED-094","FILM","Jim & Andy: The Great Beyond - Featuring a Very Special, Contractually Obligated Mention of Tony Clifton",2017,7.6,"DOCUMENTAIRE","Canada","James Carter",94,"","","","Dans ce film documentaire, un groupe de personnages hauts en couleur doit affronter des evenements qui bouleversent sa vie.",""
"MED-095","FILM","GIMS: On the Record",2020,6.8,"MUSICAL","France","Sophie Laurent",96,"","","","Dans ce film musical, un groupe de personnages hauts en couleur doit affronter des evenements qui bouleversent sa vie.","Le Pacte des Ombres"
"MED-096","FILM","Alejandro Riaño: Especial de stand up",2018,4.9,"COMEDIE","Colombie","Thomas Richter",60,"","","","Dans ce film comedie, des protagonistes confrontes a leur passe doit affronter des evenements qui bouleversent sa vie.",""
"MED-097","SERIE","Selling Sunset",2019,6.4,"REALITE","États-Unis","Nathalie Petit","",5,55,"EN_COURS","Une serie de tele-realite qui explore le quotidien de des protagonistes confrontes a leur passe et ses secrets.",""
"MED-098","FILM","Along for the Ride",2022,6.1,"DRAME","États-Unis","Marco Rossi",106,"","","","Une histoire dramatique centree sur deux rivaux contraints de collaborer, entre tension et emotion.",""
"MED-099","FILM","Once Upon a Time in America",1984,8.3,"CRIME","États-Unis","Diego Morales",139,"","","","Un film policier qui suit une communaute bouleversee par un evenement inattendu dans une histoire pleine de rebondissements.",""
"MED-100","FILM","Ali's Wedding",2017,6.9,"ROMANCE","Australie","Michael Bennett",110,"","","","Un recit romantique intense mettant en scene un groupe de personnages hauts en couleur.",""
"MED-101","SERIE","Shadow and Bone",2021,7.6,"DRAME","États-Unis","Emma Wilson","",1,9,"TERMINEE","Dans cette serie dramatique, une communaute bouleversee par un evenement inattendu navigue entre alliances et trahisons.",""
"MED-102","SERIE","Orange Is the New Black",2013,8.1,"DRAME","États-Unis","Nathalie Petit","",7,84,"ANNULEE","Un show dramatique captivant centre sur un personnage principal en quete de verite.",""
"MED-103","FILM","Dear Son",2018,6.5,"DRAME","France","David Wright",100,"","","","Dans ce film dramatique, des amis dont les destins s'entremelent doit affronter des evenements qui bouleversent sa vie.","Le Reveil des Sables"
"MED-104","FILM","Palermo Hollywood",2004,5.3,"DRAME","Argentine","Diego Morales",113,"","","","Un film dramatique qui suit des protagonistes confrontes a leur passe dans une histoire pleine de rebondissements.","Las Voces del Silencio"
"MED-105","FILM","Sounds Like Love",2021,5.4,"COMEDIE","Espagne","Jean Dupont",110,"","","","Dans ce film comedie, une famille aux liens complexes doit affronter des evenements qui bouleversent sa vie.","La Caida de las Ilusiones"
"MED-106","SERIE","The Family",2019,6.4,"DOCUMENTAIRE","États-Unis","Robert Anderson","",1,8,"EN_COURS","Dans cette serie documentaire, un personnage principal en quete de verite navigue entre alliances et trahisons.",""
"MED-107","FILM","Just Short of Perfect",2021,5.3,"COMEDIE","Bresil","Klaus Weber",94,"","","","Ce long-metrage comedie raconte le parcours de des protagonistes confrontes a leur passe face a des choix difficiles.","O Segredo das Origens"
"MED-108","FILM","Yes, God, Yes",2020,6.1,"COMEDIE","Royaume-Uni","Luca Ferrari",78,"","","","Un recit comedie intense mettant en scene des protagonistes confrontes a leur passe.",""
"MED-109","FILM","Jo Koy: Comin’ In Hot",2019,7.3,"COMEDIE","États-Unis","Paolo Conti",60,"","","","Un film comedie qui suit un personnage principal en quete de verite dans une histoire pleine de rebondissements.",""
"MED-110","SERIE","High Seas",2019,6.8,"CRIME","Espagne","Javier Ruiz","",4,24,"TERMINEE","Une serie policier qui explore le quotidien de des protagonistes confrontes a leur passe et ses secrets.","Alta Mar"
"MED-111","FILM","Primal Fear",1996,8.3,"DRAME","États-Unis","Gregory Hoblit",131,"","","","Ce long-metrage dramatique raconte le parcours de une famille aux liens complexes face a des choix difficiles.",""
"MED-112","FILM","The Hand of God",2021,7.4,"DRAME","Italie","Jean Dupont",130,"","","","Un film dramatique qui suit un personnage principal en quete de verite dans une histoire pleine de rebondissements.","E Stata la Mano di Dio"
"MED-113","SERIE","Power Rangers Beast Morphers",2019,6.5,"ACTION","Espagne","Francesca Romano","",2,20,"ANNULEE","Cette serie action suit deux rivaux contraints de collaborer au fil de plusieurs saisons pleines de tensions.","El Secreto de los Origenes"
"MED-114","FILM","Chappie",2015,6.8,"CRIME","Mexique","Paolo Conti",120,"","","","Une histoire policier centree sur deux rivaux contraints de collaborer, entre tension et emotion.","El Pacto de las Sombras"
"MED-115","FILM","The Tuxedo",2002,8.6,"COMEDIE","États-Unis","Kevin Donovan",99,"","","","Un film comedie qui suit des protagonistes confrontes a leur passe dans une histoire pleine de rebondissements.",""
"MED-116","FILM","Aftermath",2021,5.3,"HORREUR","États-Unis","Isabelle Moreau",114,"","","","Un film d'horreur qui suit un personnage principal en quete de verite dans une histoire pleine de rebondissements.",""
"MED-117","FILM","Fanatyk",2017,5.5,"DRAME","Pologne","Marco Rossi",33,"","","","Ce long-metrage dramatique raconte le parcours de une famille aux liens complexes face a des choix difficiles.",""
"MED-118","FILM","The Girl with the Dragon Tattoo",2011,5.8,"DRAME","États-Unis","David Fincher",158,"","","","Ce long-metrage dramatique raconte le parcours de un personnage principal en quete de verite face a des choix difficiles.","Man Som Hatar Kvinnor"
"MED-119","SERIE","Chappelle's Show",2003,8.8,"COMEDIE","États-Unis","Robert Anderson","",3,30,"EN_COURS","Cette serie comedie suit un enqueteur determine a resoudre une affaire au fil de plusieurs saisons pleines de tensions.",""
"MED-120","SERIE","Titletown High",2021,5.5,"REALITE","États-Unis","Julie Bernard","",1,10,"TERMINEE","Un show de tele-realite captivant centre sur un enqueteur determine a resoudre une affaire.",""
"MED-121","FILM","Fadily Camara : La plus drôle de tes copines",2019,8.0,"COMEDIE","France","Gautier & Leduc",54,"","","","Un film comedie qui suit un groupe de personnages hauts en couleur dans une histoire pleine de rebondissements.",""
"MED-122","SERIE","Thomas & Friends",1984,6.5,"ANIMATION","Royaume-Uni","Nathalie Petit","",24,192,"ANNULEE","Une serie d'animation qui explore le quotidien de un groupe de personnages hauts en couleur et ses secrets.",""
"MED-123","SERIE","LEGO City",2011,5.0,"ANIMATION","Royaume-Uni","Nathalie Petit","",3,36,"EN_COURS","Cette production d'animation suit l'evolution de un enqueteur determine a resoudre une affaire episode apres episode.",""
"MED-124","FILM","Room",2015,8.4,"DRAME","Irlande","Lenny Abrahamson",118,"","","","Un recit dramatique intense mettant en scene des amis dont les destins s'entremelent.",""
"MED-125","FILM","Behind the Curve",2018,6.3,"DOCUMENTAIRE","États-Unis","Daniel J. Clark",96,"","","","Un recit documentaire intense mettant en scene deux rivaux contraints de collaborer.",""
"MED-126","SERIE","Carmel: Who Killed Maria Marta?",2020,7.0,"DOCUMENTAIRE","Argentine","Lucia Fernandez","",1,10,"TERMINEE","Cette serie documentaire suit un heros ordinaire plonge dans l'extraordinaire au fil de plusieurs saisons pleines de tensions.","El Peso de los Recuerdos"
"MED-127","FILM","Snervous Tyler Oakley",2015,5.4,"DOCUMENTAIRE","États-Unis","Sarah Mitchell",82,"","","","Ce long-metrage documentaire raconte le parcours de un enqueteur determine a resoudre une affaire face a des choix difficiles.",""
"MED-128","FILM","100 Things to Do Before High School",2014,6.8,"DRAME","États-Unis","Diego Morales",44,"","","","Une histoire dramatique centree sur un heros ordinaire plonge dans l'extraordinaire, entre tension et emotion.",""
"MED-129","FILM","Fuga",2006,6.2,"MUSICAL","Chili","David Wright",110,"","","","Une histoire musical centree sur une communaute bouleversee par un evenement inattendu, entre tension et emotion.",""
"MED-130","SERIE","Heartstopper",2022,8.7,"ROMANCE","Royaume-Uni","Emma Wilson","",3,21,"ANNULEE","Une serie romantique qui explore le quotidien de des amis dont les destins s'entremelent et ses secrets.",""
"MED-131","SERIE","How to Sell Drugs Online (Fast)",2019,7.9,"COMEDIE","Allemagne","Lucia Fernandez","",3,18,"EN_COURS","Cette serie comedie suit un groupe de personnages hauts en couleur au fil de plusieurs saisons pleines de tensions.","Wie Verkauft Man Drogen im Darknet"
"MED-132","FILM","Chronicle of an Escape",2006,8.5,"DRAME","Argentine","Israel Adrián Caetano",104,"","","","Dans ce film dramatique, deux rivaux contraints de collaborer doit affronter des evenements qui bouleversent sa vie.",""
"MED-133","FILM","Talladega Nights: The Ballad of Ricky Bobby",2006,6.8,"COMEDIE","États-Unis","Adam McKay",108,"","","","Dans ce film comedie, des protagonistes confrontes a leur passe doit affronter des evenements qui bouleversent sa vie.",""
